"OID","Country or Area","Year","Description","Magnitude","Value"
"61246S..ZK...","ALGERIA","2009","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","6931640000"
"61246L..ZK...","ALGERIA","2009","LOANS","ALGERIAN DINARS","13002000000"
"61246C..ZK...","ALGERIA","2009","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","1046970000"
"61246D..ZK...","ALGERIA","2009","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","412891000"
"61246R..ZK...","ALGERIA","2009","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246M..ZK...","ALGERIA","2009","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2009","DEPOSITS","ALGERIAN DINARS","24856100000"
"61246S..ZK...","ALGERIA","2008","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","8091640000"
"61246B..ZF...","ALGERIA","2008","RESTRICTED DEPOSITS","ALGERIAN DINARS","24122000"
"61246L..ZK...","ALGERIA","2008","LOANS","ALGERIAN DINARS","17085000000"
"61246C..ZK...","ALGERIA","2008","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","3684070000"
"61246D..ZK...","ALGERIA","2008","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","771179000"
"61246R..ZK...","ALGERIA","2008","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2008","FOREIGN LIABILITIES","ALGERIAN DINARS","3684070000"
"61246M..ZK...","ALGERIA","2008","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2008","DEPOSITS","ALGERIAN DINARS","24122000"
"61246H..ZF...","ALGERIA","2008","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","17085000000"
"61246G..ZF...","ALGERIA","2008","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2008","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","771179000"
"61246S..ZK...","ALGERIA","2007","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","8091640000"
"61246B..ZF...","ALGERIA","2007","RESTRICTED DEPOSITS","ALGERIAN DINARS","24122000"
"61246L..ZK...","ALGERIA","2007","LOANS","ALGERIAN DINARS","17432000000"
"61246C..ZK...","ALGERIA","2007","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","3677390000"
"61246D..ZK...","ALGERIA","2007","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","780599000"
"61246R..ZK...","ALGERIA","2007","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2007","FOREIGN LIABILITIES","ALGERIAN DINARS","3677390000"
"61246M..ZK...","ALGERIA","2007","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2007","DEPOSITS","ALGERIAN DINARS","2661580000"
"61246H..ZF...","ALGERIA","2007","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","20069500000"
"61246G..ZF...","ALGERIA","2007","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2007","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","780599000"
"61246S..ZK...","ALGERIA","2006","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","4803900000"
"61246B..ZF...","ALGERIA","2006","RESTRICTED DEPOSITS","ALGERIAN DINARS","18358000"
"61246L..ZK...","ALGERIA","2006","LOANS","ALGERIAN DINARS","3735140000"
"61246C..ZK...","ALGERIA","2006","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","5106400000"
"61246D..ZK...","ALGERIA","2006","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","224588000"
"61246R..ZK...","ALGERIA","2006","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2006","FOREIGN LIABILITIES","ALGERIAN DINARS","5106400000"
"61246M..ZK...","ALGERIA","2006","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2006","DEPOSITS","ALGERIAN DINARS","4050000000"
"61246H..ZF...","ALGERIA","2006","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","7766780000"
"61246G..ZF...","ALGERIA","2006","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2006","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","224588000"
"61246S..ZK...","ALGERIA","2005","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","2480000000"
"61246B..ZF...","ALGERIA","2005","RESTRICTED DEPOSITS","ALGERIAN DINARS","0"
"61246L..ZK...","ALGERIA","2005","LOANS","ALGERIAN DINARS","0"
"61246C..ZK...","ALGERIA","2005","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","6316490000"
"61246D..ZK...","ALGERIA","2005","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","52327000"
"61246R..ZK...","ALGERIA","2005","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2005","FOREIGN LIABILITIES","ALGERIAN DINARS","6316490000"
"61246M..ZK...","ALGERIA","2005","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2005","DEPOSITS","ALGERIAN DINARS","0"
"61246H..ZF...","ALGERIA","2005","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","0"
"61246G..ZF...","ALGERIA","2005","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2005","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","52327000"
"61246S..ZK...","ALGERIA","2004","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","2480000000"
"61246B..ZF...","ALGERIA","2004","RESTRICTED DEPOSITS","ALGERIAN DINARS","36562000"
"61246L..ZK...","ALGERIA","2004","LOANS","ALGERIAN DINARS","0"
"61246C..ZK...","ALGERIA","2004","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","5344210000"
"61246D..ZK...","ALGERIA","2004","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","1125750000"
"61246R..ZK...","ALGERIA","2004","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2004","FOREIGN LIABILITIES","ALGERIAN DINARS","5344210000"
"61246M..ZK...","ALGERIA","2004","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2004","DEPOSITS","ALGERIAN DINARS","3446350000"
"61246H..ZF...","ALGERIA","2004","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","3409790000"
"61246G..ZF...","ALGERIA","2004","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2004","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","1125750000"
"61246S..ZK...","ALGERIA","2003","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","2480000000"
"61246B..ZF...","ALGERIA","2003","RESTRICTED DEPOSITS","ALGERIAN DINARS","1802460000"
"61246L..ZK...","ALGERIA","2003","LOANS","ALGERIAN DINARS","754362000"
"61246C..ZK...","ALGERIA","2003","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","3491930000"
"61246D..ZK...","ALGERIA","2003","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","60310000"
"61246R..ZK...","ALGERIA","2003","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2003","FOREIGN LIABILITIES","ALGERIAN DINARS","3491930000"
"61246M..ZK...","ALGERIA","2003","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2003","DEPOSITS","ALGERIAN DINARS","4051330000"
"61246H..ZF...","ALGERIA","2003","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","2248870000"
"61246G..ZF...","ALGERIA","2003","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","754362000"
"61246D..ZF...","ALGERIA","2003","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","60310000"
"61246S..ZK...","ALGERIA","2002","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","0"
"61246B..ZF...","ALGERIA","2002","RESTRICTED DEPOSITS","ALGERIAN DINARS","1515420000"
"61246L..ZK...","ALGERIA","2002","LOANS","ALGERIAN DINARS","0"
"61246C..ZK...","ALGERIA","2002","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","34254000"
"61246D..ZK...","ALGERIA","2002","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","80918000"
"61246R..ZK...","ALGERIA","2002","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2002","FOREIGN LIABILITIES","ALGERIAN DINARS","34254000"
"61246M..ZK...","ALGERIA","2002","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2002","DEPOSITS","ALGERIAN DINARS","2635920000"
"61246H..ZF...","ALGERIA","2002","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","1120500000"
"61246G..ZF...","ALGERIA","2002","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2002","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","80918000"
"61246S..ZK...","ALGERIA","2001","SECURITIES OTHER THAN SHARES","ALGERIAN DINARS","0"
"61246B..ZF...","ALGERIA","2001","RESTRICTED DEPOSITS","ALGERIAN DINARS","1142300000"
"61246L..ZK...","ALGERIA","2001","LOANS","ALGERIAN DINARS","0"
"61246C..ZK...","ALGERIA","2001","LIABILITIES TO NONRESIDENTS","ALGERIAN DINARS","2992000"
"61246D..ZK...","ALGERIA","2001","LIABILITIES TO CENTRAL GOVERNMENT","ALGERIAN DINARS","44041000"
"61246R..ZK...","ALGERIA","2001","INSURANCE TECHNICAL RESERVES","ALGERIAN DINARS","0"
"61246C..ZF...","ALGERIA","2001","FOREIGN LIABILITIES","ALGERIAN DINARS","2992000"
"61246M..ZK...","ALGERIA","2001","FINANCIAL DERIVATIVES","ALGERIAN DINARS","0"
"61246B..ZK...","ALGERIA","2001","DEPOSITS","ALGERIAN DINARS","1142300000"
"61246H..ZF...","ALGERIA","2001","CREDIT FROM OTHER DEPOSITORY CORPORA","ALGERIAN DINARS","0"
"61246G..ZF...","ALGERIA","2001","CREDIT FROM MONETARY AUTHORITIES","ALGERIAN DINARS","0"
"61246D..ZF...","ALGERIA","2001","CENTRAL GOVERNMENT DEPOSITS","ALGERIAN DINARS","44041000"
"21346C..ZF...","ARGENTINA","2009","FOREIGN LIABILITIES","ARGENTINE PESOS","121954000"
"21346G..ZF...","ARGENTINA","2009","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","17487000"
"21346D..ZF...","ARGENTINA","2009","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","109274000"
"21346C..ZF...","ARGENTINA","2008","FOREIGN LIABILITIES","ARGENTINE PESOS","208873000"
"21346G..ZF...","ARGENTINA","2008","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","18252000"
"21346D..ZF...","ARGENTINA","2008","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","49500000"
"21346C..ZF...","ARGENTINA","2007","FOREIGN LIABILITIES","ARGENTINE PESOS","9892000"
"21346G..ZF...","ARGENTINA","2007","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","13551000"
"21346D..ZF...","ARGENTINA","2007","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2006","FOREIGN LIABILITIES","ARGENTINE PESOS","71929000"
"21346G..ZF...","ARGENTINA","2006","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","14052000"
"21346D..ZF...","ARGENTINA","2006","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2005","FOREIGN LIABILITIES","ARGENTINE PESOS","38560000"
"21346G..ZF...","ARGENTINA","2005","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","14241000"
"21346D..ZF...","ARGENTINA","2005","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2004","FOREIGN LIABILITIES","ARGENTINE PESOS","82143000"
"21346G..ZF...","ARGENTINA","2004","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","115889000"
"21346D..ZF...","ARGENTINA","2004","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2003","FOREIGN LIABILITIES","ARGENTINE PESOS","51271000"
"21346G..ZF...","ARGENTINA","2003","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","91052000"
"21346D..ZF...","ARGENTINA","2003","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2002","FOREIGN LIABILITIES","ARGENTINE PESOS","152560000"
"21346G..ZF...","ARGENTINA","2002","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","80608000"
"21346D..ZF...","ARGENTINA","2002","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2001","FOREIGN LIABILITIES","ARGENTINE PESOS","263068000"
"21346G..ZF...","ARGENTINA","2001","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0"
"21346D..ZF...","ARGENTINA","2001","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","2000","FOREIGN LIABILITIES","ARGENTINE PESOS","405151000"
"21346G..ZF...","ARGENTINA","2000","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0"
"21346D..ZF...","ARGENTINA","2000","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1999","FOREIGN LIABILITIES","ARGENTINE PESOS","434318000"
"21346G..ZF...","ARGENTINA","1999","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0"
"21346D..ZF...","ARGENTINA","1999","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1998","FOREIGN LIABILITIES","ARGENTINE PESOS","395232000"
"21346G..ZF...","ARGENTINA","1998","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0"
"21346D..ZF...","ARGENTINA","1998","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1997","FOREIGN LIABILITIES","ARGENTINE PESOS","148183000"
"21346G..ZF...","ARGENTINA","1997","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0"
"21346D..ZF...","ARGENTINA","1997","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1996","FOREIGN LIABILITIES","ARGENTINE PESOS","83860000"
"21346G..ZF...","ARGENTINA","1996","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","3169000"
"21346D..ZF...","ARGENTINA","1996","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1995","FOREIGN LIABILITIES","ARGENTINE PESOS","61607000"
"21346G..ZF...","ARGENTINA","1995","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","3333000"
"21346D..ZF...","ARGENTINA","1995","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1994","FOREIGN LIABILITIES","ARGENTINE PESOS","38814000"
"21346G..ZF...","ARGENTINA","1994","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","4176000"
"21346D..ZF...","ARGENTINA","1994","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1993","FOREIGN LIABILITIES","ARGENTINE PESOS","26000000"
"21346G..ZF...","ARGENTINA","1993","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","5000000"
"21346D..ZF...","ARGENTINA","1993","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1992","FOREIGN LIABILITIES","ARGENTINE PESOS","116000000"
"21346G..ZF...","ARGENTINA","1992","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","5000000"
"21346D..ZF...","ARGENTINA","1992","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1991","FOREIGN LIABILITIES","ARGENTINE PESOS","49000000"
"21346G..ZF...","ARGENTINA","1991","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","6000000"
"21346D..ZF...","ARGENTINA","1991","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1990","FOREIGN LIABILITIES","ARGENTINE PESOS","1000000"
"21346G..ZF...","ARGENTINA","1990","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","6000000"
"21346D..ZF...","ARGENTINA","1990","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1989","FOREIGN LIABILITIES","ARGENTINE PESOS","22800"
"21346G..ZF...","ARGENTINA","1989","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","813400"
"21346D..ZF...","ARGENTINA","1989","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1988","FOREIGN LIABILITIES","ARGENTINE PESOS","230.4"
"21346G..ZF...","ARGENTINA","1988","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","34912.4"
"21346D..ZF...","ARGENTINA","1988","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1987","FOREIGN LIABILITIES","ARGENTINE PESOS","670.2"
"21346G..ZF...","ARGENTINA","1987","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","16387.6"
"21346D..ZF...","ARGENTINA","1987","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1986","FOREIGN LIABILITIES","ARGENTINE PESOS","145.7"
"21346G..ZF...","ARGENTINA","1986","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","17704.7"
"21346D..ZF...","ARGENTINA","1986","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1985","FOREIGN LIABILITIES","ARGENTINE PESOS","106.6"
"21346G..ZF...","ARGENTINA","1985","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","10159.5"
"21346D..ZF...","ARGENTINA","1985","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1984","FOREIGN LIABILITIES","ARGENTINE PESOS","58.7"
"21346G..ZF...","ARGENTINA","1984","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","2138.7"
"21346D..ZF...","ARGENTINA","1984","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1983","FOREIGN LIABILITIES","ARGENTINE PESOS","8.3"
"21346G..ZF...","ARGENTINA","1983","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","619.8"
"21346D..ZF...","ARGENTINA","1983","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1982","FOREIGN LIABILITIES","ARGENTINE PESOS","2.2"
"21346G..ZF...","ARGENTINA","1982","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","490.1"
"21346D..ZF...","ARGENTINA","1982","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1981","FOREIGN LIABILITIES","ARGENTINE PESOS","0.8"
"21346G..ZF...","ARGENTINA","1981","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","32"
"21346D..ZF...","ARGENTINA","1981","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1980","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1980","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","10.3"
"21346D..ZF...","ARGENTINA","1980","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1979","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1979","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","1.9"
"21346D..ZF...","ARGENTINA","1979","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1978","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1978","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","1.8"
"21346D..ZF...","ARGENTINA","1978","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1977","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1977","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","1.5"
"21346D..ZF...","ARGENTINA","1977","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1976","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1976","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","1.2"
"21346D..ZF...","ARGENTINA","1976","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1975","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1975","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.2"
"21346D..ZF...","ARGENTINA","1975","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1974","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1974","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.11"
"21346D..ZF...","ARGENTINA","1974","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1973","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1973","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.03"
"21346D..ZF...","ARGENTINA","1973","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1972","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1972","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.01"
"21346D..ZF...","ARGENTINA","1972","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1971","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1971","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.01"
"21346D..ZF...","ARGENTINA","1971","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1970","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1970","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0071"
"21346D..ZF...","ARGENTINA","1970","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1969","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1969","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0052"
"21346D..ZF...","ARGENTINA","1969","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1968","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1968","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0047"
"21346D..ZF...","ARGENTINA","1968","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1967","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1967","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0044"
"21346D..ZF...","ARGENTINA","1967","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1966","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1966","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0037"
"21346D..ZF...","ARGENTINA","1966","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1965","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1965","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0037"
"21346D..ZF...","ARGENTINA","1965","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1964","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1964","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0036"
"21346D..ZF...","ARGENTINA","1964","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346C..ZF...","ARGENTINA","1963","FOREIGN LIABILITIES","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1963","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0036"
"21346D..ZF...","ARGENTINA","1963","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1962","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0035"
"21346D..ZF...","ARGENTINA","1962","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1961","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0035"
"21346D..ZF...","ARGENTINA","1961","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1960","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0.0034"
"21346D..ZF...","ARGENTINA","1960","CENTRAL GOVERNMENT DEPOSITS","ARGENTINE PESOS","0"
"21346G..ZF...","ARGENTINA","1959","CREDIT FROM MONETARY AUTHORITIES","ARGENTINE PESOS","0"
